Fecha,P_promedio_mm
2012-01-01,89.925
2012-01-02,64.75
2012-01-03,224.175
2012-01-04,272.475
2012-01-05,204.925
2012-01-06,134.6
2012-01-07,164.6
2012-01-08,180.35000000000002
2012-01-09,82.925
2012-01-10,201.5
2012-01-11,159.725
2012-01-12,46.475
2013-01-01,38.199999999999996
2013-01-02,79.775
2013-01-03,125.75
2013-01-04,242.2
2013-01-05,195.025
2013-01-06,107.95
2013-01-07,87.6
2013-01-08,153.95
2013-01-09,97.325
2013-01-10,124.625
2013-01-11,143.35
2013-01-12,138.05
2014-01-01,79.175
2014-01-02,140.5
2014-01-03,137.86666666666667
2014-01-04,208.4333333333333
2014-01-05,230.5666666666667
2014-01-06,124.575
2014-01-07,253.72500000000002
2014-01-08,160.275
2014-01-09,150.63333333333333
2014-01-10,279.225
2014-01-11,213.1
2014-01-12,90.325
2015-01-01,79.95
2015-01-02,70.025
2015-01-03,145.2
2015-01-04,258.0
2015-01-05,129.5
2015-01-06,123.125
2015-01-07,93.825
2015-01-08,88.375
2015-01-09,88.25
2015-01-10,137.07500000000002
2015-01-11,200.65
2015-01-12,45.5
2016-01-01,60.93333333333334
2016-01-02,49.06666666666666
2016-01-03,188.5666666666667
2016-01-04,199.76666666666665
2016-01-05,194.29999999999998
2016-01-06,181.6
2016-01-07,178.025
2016-01-08,155.65
2016-01-09,221.675
2016-01-10,202.57500000000002
2016-01-11,212.0
2016-01-12,168.5
2017-01-01,74.875
2017-01-02,89.15
2017-01-03,263.225
2017-01-04,221.5
2017-01-05,242.85000000000002
2017-01-06,238.475
2017-01-07,145.95
2017-01-08,199.64999999999998
2017-01-09,166.325
2017-01-10,142.6
2017-01-11,223.0
2017-01-12,87.175
2018-01-01,129.1
2018-01-02,32.699999999999996
2018-01-03,129.4333333333333
2018-01-04,232.875
2018-01-05,279.2
2018-01-06,192.52499999999998
2018-01-07,203.775
2018-01-08,157.6
2018-01-09,220.15
2018-01-10,228.075
2018-01-11,184.025
2018-01-12,62.85
2019-01-01,85.925
2019-01-02,113.73333333333335
2019-01-03,186.67499999999998
2019-01-04,195.975
2019-01-05,262.6
2019-01-06,209.55
2019-01-07,168.275
2019-01-08,149.77499999999998
2019-01-09,139.775
2019-01-10,206.925
2019-01-11,168.875
2019-01-12,42.1
