Departamento,Municipio,Codigo,Nombre,Categoria,Tecnologia,LONGITUD,LATITUD,Altitud,Fecha_instalacion,Fecha_suspension
Boyacá,Muzo,23120050,MUZO [23120050],Pluviométrica,Convencional,-74.10122222,5.534805556,850,6/15/1958,
Boyacá,Pauna,23120120,STA RITA  [23120120],Pluviométrica,Convencional,-73.91666667,5.6,"2,800",4/15/1961,
Boyacá,Caldas,24010420,CALDAS  [24010420],Pluviométrica,Convencional,-73.86666667,5.55,"2,655",11/15/1964,
Boyacá,Somondoco,35070100,SOMONDOCO [35070100],Pluviométrica,Convencional,-73.43305556,4.983472222,"1,600",3/15/1962,
Boyacá,Somondoco,35070320,MARTOTA [35070320],Pluviométrica,Convencional,-73.43608333,4.936472222,"2,620",7/15/1996,
Quindío,Buenavista,26120590,ESPERANZA LA  [26120590],Pluviométrica,Convencional,-75.75,4.35,"1,400",7/15/1982,
Quindío,Armenia,26120320,GOBERNACION  [26120320],Pluviométrica,Convencional,-75.68333333,4.533333333,"1,551",3/15/1972,4/29/2025
Quindío,Armenia,26120500,PRADERA LA  [26120500],Pluviométrica,Convencional,-75.71666667,4.466666667,"1,350",1/15/1982,
Quindío,Armenia,26120520,TUCUMAN  [26120520],Pluviométrica,Convencional,-75.73333333,4.533333333,"1,250",8/15/1981,
Quindío,Buenavista,26120590,ESPERANZA LA  [26120590],Pluviométrica,Convencional,-75.75,4.35,"1,400",7/15/1982,
Quindío,CÃ³rdoba,26120350,CORDOBA LA  [26120350],Pluviométrica,Convencional,-75.68333333,4.4,"1,490",5/15/1971,
Quindío,CÃ³rdoba,26120560,MONACO  [26120560],Pluviométrica,Convencional,-75.66666667,4.4,"1,300",1/15/1982,
Quindío,Filandia,26120200,AMAZONAS  [26120200],Pluviométrica,Convencional,-75.65,4.633333333,"1,700",1/15/1982,
Quindío,Filandia,26120410,INDIA LA  [26120410],Pluviométrica,Convencional,-75.66666667,4.683333333,"1,800",4/15/1971,4/29/2025
Quindío,Filandia,26120650,ESPERANZA LA  [26120650],Pluviométrica,Convencional,-75.7,4.633333333,"1,700",1/15/1991,
Quindío,Pijao,26120170,PIJAO [26120170],Pluviométrica,Convencional,-75.70627778,4.33275,"1,685",11/15/1974,
Quindío,Pijao,26120430,BARRAGAN  [26120430],Pluviométrica,Convencional,-75.78333333,4.333333333,"1,180",1/15/1972,
Quindío,Pijao,26120480,PIZARRAS  [26120480],Pluviométrica,Convencional,-75.78333333,4.616666667,"2,200",10/15/1981,
Quindío,Pijao,26120490,FLORIDA LA  [26120490],Pluviométrica,Convencional,-75.81666667,4.466666667,"2,200",10/15/1981,
Quindío,Pijao,26120570,PORVENIR EL  [26120570],Pluviométrica,Convencional,-75.75,4.316666667,"1,540",1/15/1982,
Quindío,Génova,26120040,VILLA HORIZABA  [26120040],Pluviométrica,Convencional,-75.73333333,4.2,"1,540",1/15/1982,
Quindío,Génova,26120640,ALEJANDRIA LA  [26120640],Pluviométrica,Convencional,-75.78333333,4.183333333,"1,600",1/15/1991,
Quindío,Salento,26120160,SALENTO [26120160],Pluviométrica,Convencional,-75.56916667,4.636277778,"1,926",11/15/1974,
Quindío,Salento,26120300,NAVARCO  [26120300],Pluviométrica,Convencional,-75.55,4.483333333,"2,278",1/15/1971,
Quindío,Salento,26120330,PICOTA LA  [26120330],Pluviométrica,Convencional,-75.65,4.633333333,"2,680",5/15/1971,
Quindío,Salento,26120400,BUENOS AIRES  [26120400],Pluviométrica,Convencional,-75.6,4.533333333,"2,280",4/15/1971,4/29/2025
Quindío,Salento,26120450,CRIOLINDA  [26120450],Pluviométrica,Convencional,-75.58333333,4.683333333,"1,900",10/15/1981,
Quindío,Salento,26120460,SIERRA LA  [26120460],Pluviométrica,Convencional,-75.53333333,4.716666667,"2,250",10/15/1981,
Quindío,Salento,26120690,MONTAÃ‘A LA  [26120690],Pluviométrica,Convencional,-75.45,4.616666667,"2,860",1/15/1999,
Quindío,Salento,26120700,BOSQUE EL  [26120700],Pluviométrica,Convencional,-75.43333333,4.65,"3,160",1/15/1999,4/29/2025
Quindío,Salento,26120710,ESTRELLA DE AGUA  [26120710],Pluviométrica,Convencional,-75.43333333,4.616666667,"3,190",1/15/1999,
Quindío,Montenegro,26120110,PUEBLO TAPADO  [26120110],Pluviométrica,Convencional,-75.78333333,4.566666667,"1,250",9/15/1975,
Quindío,Montenegro,26120220,AGRADO EL  [26120220],Pluviométrica,Convencional,-75.81666667,4.466666667,"1,350",1/15/1980,
Quindío,Montenegro,26120240,SORRENTO  [26120240],Pluviométrica,Convencional,-75.85,4.533333333,"1,290",5/15/1982,
Quindío,Montenegro,26120660,JULIA LA  [26120660],Pluviométrica,Convencional,-75.75,4.55,"1,320",1/15/1991,
Quindío,Quimbaya,26120060,VIVERO  [26120060],Pluviométrica,Convencional,-75.76666667,4.616666667,"1,400",11/15/1951,
Quindío,Quimbaya,26120080,ROCIO EL  [26120080],Pluviométrica,Convencional,-75.76666667,4.566666667,"1,300",4/15/1980,
Quindío,Quimbaya,26120190,YOLANDA  [26120190],Pluviométrica,Convencional,-75.78333333,4.616666667,"1,320",5/15/1962,
Quindío,Circasia,26120210,ILUSION LA  [26120210],Pluviométrica,Convencional,-75.65,4.6,"1,500",8/15/1981,
Quindío,Circasia,26120510,VILLA DORA  [26120510],Pluviométrica,Convencional,-75.61666667,4.616666667,"2,000",4/15/1971,4/29/2025
